Product_Name,Stock_Quantity,Inventory_Value,Sales_Volume,Discount_Revenue,Best_Seller
Sushi Rice,22.0,99.0,32.0,129.6,False
Arabica Coffee,45.0,900.0,85.0,1530.0,False
Black Rice,30.0,180.0,31.0,167.4,False
Long Grain Rice,12.0,18.0,95.0,128.25,False
Plum,37.0,148.0,62.0,223.20000000000002,False
All-Purpose Flour,55.0,96.25,34.0,53.550000000000004,False
Corn Oil,96.0,240.0,67.0,150.75,False
Egg (Goose),44.0,110.0,21.0,47.25,False
Greek Yogurt,91.0,273.0,56.0,151.20000000000002,False
Egg (Duck),43.0,43.0,27.0,24.3,False
Long Grain Rice,62.0,99.2,100.0,144.0,True
White Sugar,91.0,182.0,100.0,180.0,False
Rye Bread,26.0,78.0,47.0,126.9,False
Plum,95.0,380.0,69.0,248.4,False
Strawberries,54.0,324.0,63.0,340.2,False
Feta Cheese,94.0,658.0,20.0,126.0,False
Bread Flour,27.0,40.5,66.0,89.10000000000001,False
Swiss Cheese,49.0,392.0,78.0,561.6,False
Arabica Coffee,55.0,1100.0,46.0,828.0,False
White Sugar,65.0,130.0,29.0,52.2,False
Spinach,72.0,180.0,82.0,184.5,False
Trout,49.0,588.0,52.0,561.6,False
Green Beans,81.0,162.0,20.0,36.0,False
Cabbage,88.0,88.0,73.0,65.7,False
Parmesan Cheese,63.0,756.0,59.0,637.2,False
Raw Sugar,31.0,46.5,46.0,62.1,False
Egg (Quail),97.0,77.60000000000001,97.0,69.84,False
Mushrooms,72.0,432.0,94.0,507.6,False
Oatmeal Biscuit,16.0,80.0,50.0,225.0,False
Pear,77.0,346.5,61.0,247.05,False
Cucumber,19.0,33.25,31.0,48.825,False
Pineapple,18.0,63.0,42.0,132.3,False
Olive Oil,47.0,282.0,42.0,226.8,False
Herbal Tea,77.0,2310.0,25.0,675.0,False
Haddock,46.0,414.0,65.0,526.5,False
Onion,39.0,78.0,60.0,108.0,False
Sushi Rice,75.0,337.5,43.0,174.15,False
Pineapple,48.0,165.60000000000002,51.0,158.35500000000002,False
Zucchini,61.0,152.5,79.0,177.75,False
Short Grain Rice,60.0,180.0,47.0,126.9,False
Mango,24.0,120.0,39.0,175.5,False
Lemon,12.0,27.599999999999998,66.0,136.61999999999998,False
Black Coffee,84.0,1260.0,25.0,337.5,False
Butter,51.0,153.0,40.0,108.0,False
Multigrain Bread,65.0,227.5,32.0,100.8,False
Long Grain Rice,67.0,100.5,66.0,89.10000000000001,False
Bread Flour,14.0,21.0,37.0,49.95,False
Kiwi,45.0,270.0,44.0,237.6,False
Mango,92.0,460.0,24.0,108.0,False
Sourdough Bread,41.0,164.0,42.0,151.20000000000002,False
Short Grain Rice,41.0,184.5,38.0,153.9,False
Orange,85.0,255.0,95.0,256.5,False
Pineapple,44.0,149.6,96.0,293.76,False
White Bread,92.0,230.0,61.0,137.25,False
Green Coffee,62.0,744.0,35.0,378.0,False
Zucchini,26.0,65.0,57.0,128.25,False
Sourdough Bread,59.0,265.5,32.0,129.6,False
Orange,88.0,255.2,63.0,164.43,False
Sardines,91.0,546.0,30.0,162.0,False
Olive Oil,28.0,168.0,38.0,205.20000000000002,False
Carrot,51.0,76.5,44.0,59.4,False
Black Tea,46.0,230.0,64.0,288.0,False
Pear,82.0,364.90000000000003,30.0,120.15,False
Olive Oil,100.0,600.0,84.0,453.6,False
Ricotta Cheese,51.0,306.0,54.0,291.6,False
Black Coffee,61.0,915.0,67.0,904.5,False
White Tea,99.0,2475.0,93.0,2092.5,False
Cucumber,13.0,23.400000000000002,44.0,71.28,False
Mozzarella Cheese,45.0,315.0,83.0,522.9,False
Broccoli,73.0,292.0,47.0,169.20000000000002,False
Eggplant,39.0,117.0,51.0,137.70000000000002,False
Trout,29.0,348.0,85.0,918.0,False
Heavy Cream,12.0,48.0,20.0,72.0,False
Bell Pepper,96.0,427.20000000000005,74.0,296.37,False
Onion,35.0,70.0,76.0,136.8,False
Sardines,89.0,534.0,60.0,324.0,False
Mango,60.0,270.0,26.0,105.3,False
Arborio Rice,20.0,90.0,50.0,202.5,False
Potato,28.0,33.6,30.0,32.4,False
Corn Oil,20.0,50.0,86.0,193.5,False
Butter Biscuit,38.0,228.0,67.0,361.8,False
Peas,99.0,297.0,50.0,135.0,False
Cream,92.0,230.0,72.0,162.0,False
Spinach,41.0,98.39999999999999,59.0,127.44,False
Sardines,44.0,264.0,90.0,486.0,False
White Sugar,47.0,94.0,29.0,52.2,False
Bread Flour,21.0,31.5,38.0,51.300000000000004,False
Cucumber,85.0,153.0,64.0,103.68,False
Swiss Cheese,29.0,232.0,59.0,424.8,False
Peanut Oil,64.0,256.0,51.0,183.6,False
Blueberries,66.0,660.0,24.0,216.0,False
Chocolate Biscuit,75.0,375.0,69.0,310.5,False
Cheese,53.0,477.0,56.0,453.6,False
Palm Oil,43.0,77.4,33.0,53.46,False
Eggplant,74.0,222.0,82.0,221.4,False
Garlic,27.0,189.0,91.0,573.3000000000001,False
Jasmine Rice,91.0,432.25,51.0,218.025,False
Rice Flour,52.0,104.0,95.0,171.0,False
Zucchini,43.0,107.5,66.0,148.5,False
Multigrain Bread,56.0,179.20000000000002,67.0,192.96,False
Ricotta Cheese,66.0,396.0,43.0,232.20000000000002,False
Bread Flour,84.0,126.0,92.0,124.2,False
Cottage Cheese,37.0,185.0,68.0,306.0,False
Whipped Cream,29.0,116.0,60.0,216.0,False
Almond Flour,13.0,123.5,24.0,205.20000000000002,False
Lemon,63.0,157.5,56.0,126.0,False
Tilapia,95.0,665.0,61.0,384.3,False
Lettuce,58.0,116.0,53.0,95.4,False
Peanut Oil,57.0,228.0,56.0,201.6,False
Sardines,33.0,198.0,98.0,529.2,False
Arabica Coffee,62.0,1240.0,23.0,414.0,False
Coconut,89.0,445.0,38.0,171.0,False
Cod,23.0,184.0,63.0,453.6,False
Banana,56.0,5512.08,35.0,3100.545,False
Black Rice,86.0,524.6,80.0,439.2,False
Pomegranate,60.0,360.0,96.0,518.4,False
Pineapple,70.0,245.0,44.0,138.6,False
Peach,47.0,188.0,93.0,334.8,False
